Day,Firstdate,Nusers,Mean_dr,Sum_dr,Date
762,2018-01-09,2554, 33.35000696217624, 85175.91778139811,2020-02-10
763,2018-01-09,2568, 33.368259626000544, 85689.6907195694,2020-02-11
764,2018-01-09,2576, 33.537659015497645, 86393.00962392194,2020-02-12
765,2018-01-09,2571, 33.758688997283095, 86793.58941201484,2020-02-13
766,2018-01-09,2560, 33.975995845747924, 86978.54936511468,2020-02-14
767,2018-01-09,2553, 33.86488747926178, 86457.05773455533,2020-02-15
768,2018-01-09,2557, 33.493083247539445, 85641.81386395836,2020-02-16
769,2018-01-09,2571, 33.256588214462596, 85502.68829938333,2020-02-17
770,2018-01-09,2577, 33.30149009402794, 85817.93997231,2020-02-18
771,2018-01-09,2566, 33.4955603023472, 85949.60773582292,2020-02-19
772,2018-01-09,2545, 33.5923516168081, 85492.53486477662,2020-02-20
773,2018-01-09,2531, 33.64430552751828, 85153.73729014875,2020-02-21
774,2018-01-09,2510, 33.55279788500871, 84217.52269137187,2020-02-22
775,2018-01-09,2500, 33.27032892102574, 83175.82230256434,2020-02-23
776,2018-01-09,2488, 33.23663153495732, 82692.7392589738,2020-02-24
777,2018-01-09,2500, 33.26082583105086, 83152.06457762716,2020-02-25
778,2018-01-09,2505, 33.228793675618796, 83238.12815742509,2020-02-26
779,2018-01-09,2482, 33.47533600331517, 83085.78396022826,2020-02-27
780,2018-01-09,2469, 33.69059054107903, 83182.06804592413,2020-02-28
781,2018-01-09,2450, 33.38781318072162, 81800.14229276798,2020-02-29
782,2018-01-09,2454, 33.183221893076684, 81431.62652561018,2020-03-01
783,2018-01-09,2444, 33.454627395016765, 81763.10935342098,2020-03-02
784,2018-01-09,2453, 33.415125076156194, 81967.30181181114,2020-03-03
785,2018-01-09,2457, 33.312929701716804, 81849.86827711819,2020-03-04
786,2018-01-09,2454, 33.35010421850011, 81841.15575219927,2020-03-05
787,2018-01-09,2450, 33.225653663914315, 81402.85147659008,2020-03-06
788,2018-01-09,2448, 32.70853178786163, 80070.48581668528,2020-03-07
789,2018-01-09,2447, 32.74813216020543, 80134.67939602268,2020-03-08
790,2018-01-09,2474, 32.6102564234259, 80677.77439155568,2020-03-09
791,2018-01-09,2470, 32.82184831947004, 81069.96534909101,2020-03-10
792,2018-01-09,2472, 32.82855290782673, 81152.18278814768,2020-03-11
793,2018-01-09,2482, 33.35132475344398, 82777.98803804796,2020-03-12
794,2018-01-09,2498, 33.37366260306292, 83367.40918245117,2020-03-13
795,2018-01-09,2507, 33.730156940154814, 84561.50344896811,2020-03-14
796,2018-01-09,2523, 33.91431263292044, 85565.81077285827,2020-03-15
797,2018-01-09,2546, 34.22479313689542, 87136.32332653574,2020-03-16
798,2018-01-09,2589, 34.311061463358214, 88831.33812863442,2020-03-17
799,2018-01-09,2600, 34.368674023633424, 89358.5524614469,2020-03-18
800,2018-01-09,2618, 34.55151133096611, 90455.85666446926,2020-03-19
801,2018-01-09,2630, 34.82319833325017, 91585.01161644794,2020-03-20
802,2018-01-09,2647, 34.976684596615186, 92583.2841272404,2020-03-21
803,2018-01-09,2666, 35.03332370746084, 93398.8410040906,2020-03-22
804,2018-01-09,2683, 35.3732705556651, 94906.48490084946,2020-03-23
805,2018-01-09,2687, 35.815490390453185, 96236.2226791477,2020-03-24
806,2018-01-09,2716, 36.13263780637001, 98136.24428210096,2020-03-25
807,2018-01-09,2725, 36.40882068131423, 99214.03635658127,2020-03-26
808,2018-01-09,2729, 36.568659687643944, 99795.87228758032,2020-03-27
809,2018-01-09,2737, 36.70781253608805, 100469.282911273,2020-03-28
810,2018-01-09,2757, 36.55195715570421, 100773.7458782765,2020-03-29
811,2018-01-09,2764, 36.871470475130515, 101912.74439326074,2020-03-30
812,2018-01-09,2776, 36.912924639875534, 102470.27880029449,2020-03-31
813,2018-01-09,2790, 37.45601547017014, 104502.2831617747,2020-04-01
814,2018-01-09,2796, 37.81060756571449, 105718.45875373772,2020-04-02
815,2018-01-09,2813, 37.97251252014554, 106816.67771916941,2020-04-03
816,2018-01-09,2823, 38.35286458696659, 108270.13672900668,2020-04-04
817,2018-01-09,2826, 38.4612052451819, 108691.36602288405,2020-04-05
818,2018-01-09,2824, 38.79152001135939, 109547.2525120789,2020-04-06
819,2018-01-09,2830, 38.87854785219302, 110026.29042170625,2020-04-07
820,2018-01-09,2841, 38.94764801833856, 110650.26802009986,2020-04-08
821,2018-01-09,2841, 39.38903093922313, 111904.23689833292,2020-04-09
822,2018-01-09,2853, 39.565886123613545, 112881.47311066945,2020-04-10
823,2018-01-09,2857, 39.775693908686904, 113639.15749711849,2020-04-11
824,2018-01-09,2864, 39.910222228607545, 114302.876462732,2020-04-12
825,2018-01-09,2878, 39.791808886937275, 114520.82597660547,2020-04-13
826,2018-01-09,2879, 39.82438227795468, 114654.39657823154,2020-04-14
827,2018-01-09,2891, 39.69267818904097, 114751.53264451744,2020-04-15
828,2018-01-09,2889, 39.72613537118761, 114768.805087361,2020-04-16
829,2018-01-09,2884, 39.65788350560598, 114373.33603016764,2020-04-17
830,2018-01-09,2906, 39.76552644978611, 115558.61986307843,2020-04-18
831,2018-01-09,2901, 39.657708438134186, 115047.01217902727,2020-04-19
832,2018-01-09,2900, 39.45957552213576, 114432.76901419369,2020-04-20
833,2018-01-09,2897, 39.5010205429755, 114434.45651300003,2020-04-21
834,2018-01-09,2892, 39.493596136218414, 114215.48002594366,2020-04-22
835,2018-01-09,2890, 39.61090325608572, 114475.51041008774,2020-04-23
836,2018-01-09,2877, 39.85595428603534, 114665.58048092367,2020-04-24
837,2018-01-09,2871, 39.63596625886788, 113794.8591292097,2020-04-25
838,2018-01-09,2864, 39.70805745837479, 113723.8765607854,2020-04-26
839,2018-01-09,2851, 39.614339263904434, 112940.48124139155,2020-04-27
840,2018-01-09,2853, 39.53463549073291, 112792.31505506099,2020-04-28
841,2018-01-09,2845, 39.58975367871662, 112632.84921594878,2020-04-29
842,2018-01-09,2844, 39.67792415502733, 112844.01629689772,2020-04-30
843,2018-01-09,2841, 39.37964892110255, 111877.58258485235,2020-05-01
844,2018-01-09,2847, 39.45490140416012, 112328.10429764385,2020-05-02
845,2018-01-09,2841, 39.39773653450968, 111928.969494542,2020-05-03
846,2018-01-09,2830, 39.49847043649587, 111780.67133528332,2020-05-04
847,2018-01-09,2819, 39.58988805674246, 111603.894431957,2020-05-05
848,2018-01-09,2814, 39.69112242998514, 111690.8185179782,2020-05-06
849,2018-01-09,2816, 39.70509950226944, 111809.56019839075,2020-05-07
850,2018-01-09,2826, 39.69857326704635, 112188.16805267298,2020-05-08
851,2018-01-09,2821, 39.713093220148444, 112030.63597403877,2020-05-09
852,2018-01-09,2817, 39.38692194569307, 110952.95912101738,2020-05-10
853,2018-01-09,2802, 38.82978250547197, 108801.05058033245,2020-05-11
854,2018-01-09,2820, 39.09332266831529, 110243.1699246491,2020-05-12
855,2018-01-09,2818, 38.96804130185383, 109811.94038862409,2020-05-13
856,2018-01-09,2820, 39.2231388460265, 110609.25154579473,2020-05-14
857,2018-01-09,2825, 39.1209009153397, 110516.54508583466,2020-05-15
858,2018-01-09,2821, 39.12070165045539, 110359.49935593465,2020-05-16
859,2018-01-09,2809, 39.06722918179405, 109739.84677165948,2020-05-17
860,2018-01-09,2814, 38.97560241799063, 109677.34520422562,2020-05-18
861,2018-01-09,2825, 38.793584347193885, 109591.87578082272,2020-05-19
862,2018-01-09,2808, 38.87065209398099, 109148.79107989863,2020-05-20
863,2018-01-09,2805, 38.564047287103975, 108172.15264032665,2020-05-21
864,2018-01-09,2813, 38.36170710437902, 107911.4820846182,2020-05-22
865,2018-01-09,2813, 37.91352339152716, 106650.74130036589,2020-05-23
866,2018-01-09,2783, 37.7486404347895, 105054.46633001918,2020-05-24
867,2018-01-09,2791, 37.45619337060536, 104540.23569735956,2020-05-25
868,2018-01-09,2806, 36.9996373668932, 103820.9824515023,2020-05-26
869,2018-01-09,2813, 36.89311798802457, 103780.34090031311,2020-05-27
870,2018-01-09,2807, 36.893562642902786, 103560.23033862813,2020-05-28
871,2018-01-09,2832, 36.564526762443705, 103550.73979124057,2020-05-29
872,2018-01-09,2836, 36.69100845711376, 104055.69998437463,2020-05-30
873,2018-01-09,2854, 36.549798698290545, 104313.12548492121,2020-05-31
