day,clustering,Nnodes,L/N,Firstday,First_Time
302,0.2038355897784605,3207,5.362956033676333,2018-01-09,2018-11-07
303,0.2039252184877099,3175,5.291653543307087,2018-01-09,2018-11-08
304,0.20055966110247578,3203,5.198563846394006,2018-01-09,2018-11-09
305,0.1920974954024621,3193,5.165988098966489,2018-01-09,2018-11-10
306,0.18711948055751296,3224,5.129652605459057,2018-01-09,2018-11-11
307,0.18687202424931681,3218,5.148850217526414,2018-01-09,2018-11-12
308,0.18840849121032271,3161,5.234103131920278,2018-01-09,2018-11-13
309,0.18428053479249162,3187,5.268277376843426,2018-01-09,2018-11-14
310,0.18244203762054273,3195,5.276056338028169,2018-01-09,2018-11-15
311,0.1843415377647535,3182,5.282212445003142,2018-01-09,2018-11-16
312,0.1847524723933335,3189,5.220445280652242,2018-01-09,2018-11-17
313,0.18339866115900594,3203,5.205432407118327,2018-01-09,2018-11-18
314,0.18317974747211144,3190,5.221003134796239,2018-01-09,2018-11-19
315,0.1810902850052318,3187,5.225917791026044,2018-01-09,2018-11-20
316,0.18171568450898404,3197,5.221144823271818,2018-01-09,2018-11-21
317,0.18169908610220442,3211,5.233260666459047,2018-01-09,2018-11-22
318,0.17973465635524952,3215,5.260653188180404,2018-01-09,2018-11-23
319,0.17915174606746592,3238,5.28011117974058,2018-01-09,2018-11-24
320,0.17941481016130437,3261,5.242256976387611,2018-01-09,2018-11-25
321,0.17762336880679921,3266,5.240048989589712,2018-01-09,2018-11-26
322,0.1717425868745491,3262,5.216431637032495,2018-01-09,2018-11-27
323,0.1722673749971207,3286,5.161898965307365,2018-01-09,2018-11-28
324,0.16895971126431467,3345,5.116890881913304,2018-01-09,2018-11-29
325,0.17362588326488074,3358,5.105717689100655,2018-01-09,2018-11-30
326,0.1723400928855188,3364,5.092746730083234,2018-01-09,2018-12-01
327,0.17098338598253005,3383,5.060597103162873,2018-01-09,2018-12-02
328,0.16806432773593585,3387,5.033953351048125,2018-01-09,2018-12-03
329,0.1689866059846034,3326,5.101022248947685,2018-01-09,2018-12-04
330,0.1709018263552319,3334,5.081283743251349,2018-01-09,2018-12-05
331,0.16884805991666424,3342,5.06163973668462,2018-01-09,2018-12-06
332,0.1701612624078616,3326,5.021046301864101,2018-01-09,2018-12-07
333,0.17255710963841578,3311,5.039263062518876,2018-01-09,2018-12-08
334,0.17201631148257845,3314,5.050392275196137,2018-01-09,2018-12-09
335,0.17479549019678245,3317,5.133855893880012,2018-01-09,2018-12-10
336,0.18037304476387686,3312,5.216787439613527,2018-01-09,2018-12-11
337,0.1790143785207937,3322,5.215833835039133,2018-01-09,2018-12-12
338,0.17952787483194896,3301,5.199939412299304,2018-01-09,2018-12-13
339,0.17903870784225928,3257,5.195885784464231,2018-01-09,2018-12-14
340,0.18128429248742475,3220,5.1695652173913045,2018-01-09,2018-12-15
341,0.1818924124035008,3234,5.166357452071738,2018-01-09,2018-12-16
342,0.18224447651123835,3225,5.214573643410852,2018-01-09,2018-12-17
343,0.19030476459836557,3219,5.27027027027027,2018-01-09,2018-12-18
344,0.19319326821728317,3230,5.278018575851394,2018-01-09,2018-12-19
345,0.1989897896178819,3267,5.294765840220386,2018-01-09,2018-12-20
346,0.20139976822048125,3244,5.359432799013564,2018-01-09,2018-12-21
347,0.20069044939818295,3235,5.337248840803709,2018-01-09,2018-12-22
348,0.2000828156807859,3251,5.338049830821285,2018-01-09,2018-12-23
349,0.20016281295221905,3261,5.357252376571604,2018-01-09,2018-12-24
350,0.2024364928091456,3257,5.431992631255757,2018-01-09,2018-12-25
351,0.20165629533783253,3278,5.4908480780964,2018-01-09,2018-12-26
352,0.20236264457885716,3325,5.531127819548872,2018-01-09,2018-12-27
353,0.2006671192588264,3349,5.566139146013735,2018-01-09,2018-12-28
354,0.20710075852463067,3334,5.585782843431314,2018-01-09,2018-12-29
355,0.2042640089088179,3348,5.5495818399044206,2018-01-09,2018-12-30
356,0.20633263856292672,3360,5.538988095238095,2018-01-09,2018-12-31
357,0.20781680452366308,3338,5.567705212702217,2018-01-09,2019-01-01
358,0.20715429560954515,3345,5.563228699551569,2018-01-09,2019-01-02
359,0.2056949393206892,3337,5.554989511537309,2018-01-09,2019-01-03
360,0.2084471442043507,3316,5.566344993968637,2018-01-09,2019-01-04
361,0.21188776652689667,3236,5.604449938195303,2018-01-09,2019-01-05
362,0.21169986568824,3234,5.603277674706246,2018-01-09,2019-01-06
363,0.21515968934682828,3251,5.585050753614272,2018-01-09,2019-01-07
364,0.21700843412251009,3234,5.6561533704390845,2018-01-09,2019-01-08
365,0.21391454624518183,3219,5.578129853991923,2018-01-09,2019-01-09
366,0.20996416314423322,3201,5.5376444860980945,2018-01-09,2019-01-10
367,0.21132912543009436,3208,5.490960099750623,2018-01-09,2019-01-11
368,0.21114596273222955,3199,5.49671772428884,2018-01-09,2019-01-12
369,0.21440262351344408,3189,5.467231106930072,2018-01-09,2019-01-13
370,0.21604562390136134,3213,5.50046685340803,2018-01-09,2019-01-14
371,0.21547303286927524,3218,5.52330640149161,2018-01-09,2019-01-15
372,0.21809360391609783,3253,5.491546264986167,2018-01-09,2019-01-16
