Firstdate,Lastdate,Nusers,Nusers_core,Ncore_frac,Nusers_per,Nlinks,Nlinks_core,Nlinks_per,Nlinks_core_per,L/N core,L/N per,L/N core-per
2018-12-14,2019-01-12,1019,47,4.612365063788028,972,4139,1334,599,2206,28.382978723404257,0.6162551440329218,2.632458233890215
2018-12-15,2019-01-13,1010,47,4.653465346534653,963,4096,1349,569,2178,28.70212765957447,0.5908618899273105,2.608383233532934
2018-12-16,2019-01-14,1019,50,4.906771344455349,969,4194,1429,551,2214,28.58,0.5686274509803921,2.5925058548009368
2018-12-17,2019-01-15,1021,46,4.505386875612145,975,4220,1406,659,2155,30.565217391304348,0.6758974358974359,2.644171779141104
2018-12-18,2019-01-16,1021,45,4.407443682664055,976,4232,1398,703,2131,31.066666666666666,0.7202868852459017,2.6439205955334986
2018-12-19,2019-01-17,1045,42,4.019138755980861,1003,4307,1377,733,2197,32.785714285714285,0.7308075772681955,2.656590084643289
2018-12-20,2019-01-18,1064,46,4.323308270676692,1018,4402,1480,629,2293,32.17391304347826,0.6178781925343811,2.608646188850967
2018-12-21,2019-01-19,1093,47,4.300091491308326,1046,4479,1534,610,2335,32.638297872340424,0.5831739961759083,2.5687568756875687
2018-12-22,2019-01-20,1099,45,4.094631483166515,1054,4532,1531,633,2368,34.022222222222226,0.6005692599620494,2.579520697167756
2018-12-23,2019-01-21,1118,40,3.5778175313059033,1078,4560,1422,681,2457,35.55,0.6317254174397031,2.6793893129770994
2018-12-24,2019-01-22,1121,40,3.568242640499554,1081,4542,1399,702,2441,34.975,0.6493987049028677,2.700221238938053
2018-12-25,2019-01-23,1120,38,3.392857142857143,1082,4475,1342,708,2425,35.31578947368421,0.6543438077634011,2.673649393605292
2018-12-26,2019-01-24,1123,43,3.8290293855743545,1080,4457,1411,659,2387,32.81395348837209,0.6101851851851852,2.608743169398907
2018-12-27,2019-01-25,1096,44,4.014598540145985,1052,4330,1365,641,2324,31.022727272727273,0.6093155893536122,2.5879732739420938
2018-12-28,2019-01-26,1083,44,4.062788550323177,1039,4316,1341,638,2337,30.477272727272727,0.6140519730510106,2.5681318681318683
2018-12-29,2019-01-27,1112,46,4.136690647482014,1066,4447,1366,661,2420,29.695652173913043,0.6200750469043153,2.5910064239828694
2018-12-30,2019-01-28,1122,49,4.367201426024955,1073,4584,1417,613,2554,28.918367346938776,0.5712954333643989,2.7112526539278132
2018-12-31,2019-01-29,1134,50,4.409171075837743,1084,4638,1439,617,2582,28.78,0.5691881918819188,2.700836820083682
2019-01-01,2019-01-30,1138,53,4.6572934973637965,1085,4664,1491,617,2556,28.132075471698112,0.5686635944700461,2.6542056074766354
2019-01-02,2019-01-31,1148,54,4.70383275261324,1094,4663,1519,601,2543,28.12962962962963,0.5493601462522852,2.6270661157024793
2019-01-03,2019-02-01,1167,54,4.627249357326479,1113,4722,1531,639,2552,28.35185185185185,0.5741239892183289,2.6363636363636362
2019-01-04,2019-02-02,1157,53,4.580812445980985,1104,4663,1499,662,2502,28.28301886792453,0.5996376811594203,2.6392405063291138
2019-01-05,2019-02-03,1146,50,4.363001745200698,1096,4711,1470,764,2477,29.4,0.6970802919708029,2.6923913043478263
